hot,info,rate,title,title2
"(
                    34667人评价
                )",[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,"
                东方快车谋杀案

                
              ",Murder on the Orient Express
"(
                    43530人评价
                )",[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,8.4,"
                挪威的森林

                
              ",ノルウェイの森
"(
                    47772人评价
                )",安妮宝贝 / 作家出版社 / 2001-1 / 16.00元,7.5,"
                八月未央

                
              ",
"(
                    42202人评价
                )",吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,"
                这些人，那些事

                
              ",
"(
                    44724人评价
                )",安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元,7.9,"
                清醒纪

                
              ",
"(
                    43914人评价
                )",[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.1,"
                当我谈跑步时我谈些什么

                
              ",走ることについて語るときに僕の語ること
"(
                    40729人评价
                )",当年明月 / 中国友谊出版公司 / 2007-1 / 24.80,8.9,"
                明朝那些事儿（贰）

                
                  ",
"(
                    47836人评价
                )",蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元,7.1,"
                蔡康永的说话之道

                
              ",
"(
                    41250人评价
                )",[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.6,"
                一个陌生女人的来信

                
              ",Brief einer Unbekannten
"(
                    41559人评价
                )",安东尼 / 长江文艺出版社 / 2008-3 / 18.00,8.4,"
                陪安东尼度过漫长岁月

                
              ",
"(
                    43629人评价
                )",(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元,7.8,"
                偷影子的人

                
              ",Le voleur d'ombres
"(
                    43702人评价
                )",[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元,7.8,"
                芒果街上的小屋

                
              ",The House on Mango Street
"(
                    38901人评价
                )",王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.0,"
                沉默的大多数

                
                  ",
"(
                    42186人评价
                )",（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,8.1,"
                羊脂球

                
              ",
"(
                    42481人评价
                )",[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,8.0,"
                鲁滨逊漂流记

                
              ",
"(
                    39661人评价
                )",陈忠实 / 人民文学出版社 / 1997年 / 28.00元,8.6,"
                白鹿原

                
              ",
"(
                    26702人评价
                )",[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元,9.5,"
                灌篮高手31

                
              ",
"(
                    37445人评价
                )",三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,"
                撒哈拉的故事

                
              ",
"(
                    40543人评价
                )",[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.3,"
                巴黎圣母院

                
              ",Notre-Dame de Paris
"(
                    40861人评价
                )",[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,8.0,"
                麦田里的守望者

                
              ",The Catcher in the Rye
"(
                    36931人评价
                )",[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,"
                肖申克的救赎

                
              ",Different Seasons
"(
                    40700人评价
                )",艾米 / 江苏文艺出版社 / 2007-9 / 25.00元,7.8,"
                山楂树之恋

                
              ",
"(
                    36713人评价
                )",（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元,9.0,"
                嫌疑人X的献身

                
              ",
"(
                    38195人评价
                )",唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.5,"
                华胥引（全二册）

                
              ",
"(
                    39029人评价
                )",幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,"
                地下铁

                
              ",
"(
                    39401人评价
                )",[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2,"
                无声告白

                
              ",Everything I Never Told You
"(
                    40775人评价
                )",[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元,7.7,"
                且听风吟

                
              ",風の歌を聴け
"(
                    41103人评价
                )",[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,7.6,"
                钢铁是怎样炼成的

                
              ",How the Steel Was Tempered
"(
                    42069人评价
                )",安意如 / 天津教育出版社 / 2006-8 / 23.80元,7.3,"
                人生若只如初见

                
                  ",
"(
                    38015人评价
                )",张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.4,"
                红玫瑰与白玫瑰

                
              ",
"(
                    38342人评价
                )",天下霸唱 / 安徽文艺出版社 / 2006 / 25.0,8.1,"
                鬼吹灯之精绝古城

                
                  ",
"(
                    37742人评价
                )",太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,8.3,"
                人间失格

                
              ",人間失格
"(
                    34974人评价
                )",（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,9.1,"
                安徒生童话故事集

                
              ",
"(
                    35791人评价
                )",鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.8,"
                呐喊

                
              ",
"(
                    39752人评价
                )",张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00,7.6,"
                小团圆

                
              ",
"(
                    41718人评价
                )",明晓溪 / 新世界出版社 / 2006-3 / 20.00元,7.0,"
                泡沫之夏

                
              ",
"(
                    42721人评价
                )",明晓溪 / 新世界出版社 / 2005-5 / 20.00元,6.8,"
                会有天使替我爱你

                
              ",
"(
                    38963人评价
                )",落落 / 春风文艺出版社 / 2005-2 / 20.00元,7.6,"
                年华是无效信

                
              ",
"(
                    37909人评价
                )",[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元,7.8,"
                在路上

                
              ",On the Road
"(
                    38788人评价
                )",〔日〕东野圭吾 / 李炜 / 南海出版公司 / 2009年9月 / 28.00元,7.6,"
                幻夜

                
                  ",
"(
                    32026人评价
                )",金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,8.9,"
                射雕英雄传（全四册）

                
              ",
"(
                    35066人评价
                )",幾米 / 格林 / 2000-2-1 / NT$ 299,8.5,"
                月亮忘記了

                
              ",
"(
                    33881人评价
                )",当年明月 / 中国友谊出版公司 / 2007-4 / 24.80,8.9,"
                明朝那些事儿（叁）

                
                  ",
"(
                    33076人评价
                )",当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.2,"
                明朝那些事儿（1-9）

                
                  ",
"(
                    29593人评价
                )",三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,"
                哭泣的骆驼

                
              ",
"(
                    32782人评价
                )",[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00元,9.3,"
                1984

                
              ",Nineteen Eighty-Four
"(
                    37436人评价
                )",辛夷坞 / 朝华出版社 / 2007-10 / 25.00元,7.7,"
                原来你还在这里

                
              ",
"(
                    34450人评价
                )",张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,"
                半生缘

                
              ",
"(
                    34960人评价
                )",江南 / 华文出版社 / 2004-1 / 25.00元,8.3,"
                此间的少年

                
              ",
"(
                    38777人评价
                )",宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元,7.3,"
                货币战争

                
              ",
"(
                    35647人评价
                )",匪我思存 / 新世界出版社 / 2007-2 / 20.00元,8.0,"
                佳期如梦

                
              ",
"(
                    34226人评价
                )",高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,8.4,"
                一個人住第5年

                
              ",
"(
                    34401人评价
                )",菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.3,"
                了不起的盖茨比

                
              ",The Great Gatsby
"(
                    32685人评价
                )",[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9,"
                无人生还

                
              ",And Then There Were None
"(
                    34991人评价
                )",[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元,8.1,"
                时间旅行者的妻子

                
              ",The Time Traveler´s Wife
"(
                    37034人评价
                )",安妮宝贝 / 中国社会科学出版社 / 2000-1 / 19.00,7.5,"
                告别薇安

                
              ",
"(
                    34701人评价
                )",梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,8.1,"
                常识

                
              ",
"(
                    34312人评价
                )",桐华 / 民族出版社 / 2006-6 / 25.00元,8.1,"
                步步惊心

                
              ",
"(
                    32503人评价
                )",王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,"
                爱你就像爱生命

                
              ",
"(
                    35485人评价
                )",安妮宝贝 / 南海出版公司 / 2004-1 / 20.00元,7.7,"
                二三事

                
              ",
"(
                    36250人评价
                )",余华 / 上海文艺出版社 / 2006-3 / 27.00元,7.5,"
                兄弟（下）

                
              ",
"(
                    30837人评价
                )",三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元,9.3,"
                撒哈拉的故事

                
              ",
"(
                    34048人评价
                )",蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,8.1,"
                孤独六讲

                
              ",
"(
                    35016人评价
                )",蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元,7.7,"
                皮囊

                
              ",No More Than Skins
"(
                    30914人评价
                )",[以色列]尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11-1 / CNY 68.00,9.2,"
                人类简史

                
                  ",A brief history of humankind
"(
                    33569人评价
                )",鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,8.0,"
                失恋33天

                
                  ",
"(
                    32999人评价
                )",南派三叔 / 中国友谊出版公司 / 2007-4 / 26.80元,8.2,"
                盗墓笔记2

                
                  ",
"(
                    31255人评价
                )",当年明月 / 中国友谊出版公司 / 2007-9 / 24.80,8.8,"
                明朝那些事儿（肆）

                
                  ",
"(
                    32764人评价
                )",(法)古斯塔夫.勒庞 / 冯克利 / 中央编译出版社 / 1998-01 / 16.00元,8.3,"
                乌合之众

                
                  ",The Crowd: A Study of the Popular Mind
"(
                    30208人评价
                )",[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.2,"
                动物农场

                
              ",Animal Farm
"(
                    36463人评价
                )",饶雪漫 / 当代世界出版社 / 2006-2 / 22.00元,7.1,"
                左耳

                
              ",
"(
                    27114人评价
                )",金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.8,"
                鹿鼎记（全五册）

                
              ",
"(
                    31070人评价
                )",[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,"
                荆棘鸟

                
              ",The Thorn Birds
"(
                    37509人评价
                )",郭敬明 / 上海译文出版社 / 2003-5 / 16.00元,6.7,"
                左手倒影，右手年华。

                
              ",
"(
                    35486人评价
                )",韩寒 / 上海人民出版社 / 2000-08 / 12.00,7.2,"
                零下一度

                
              ",
